"Argoulets","06.20","07.10","07.55","08.40","09.30","10.25","11.15","12.00","12.50","13.45","14.35","15.20","16.15","17.00","17.55","18.45","19.30","20.10"
"Atlanta","06.25","07.16","08.01","08.46","09.36","10.31","11.21","12.06","12.57","13.52","14.41","15.26","16.21","17.06","18.01","18.51","19.36","20.16"
"Bayonne","06.28","07.20","08.05","08.50","09.39","10.35","11.25","12.10","13.00","13.55","14.44","15.29","16.24","17.10","18.05","18.53","19.38","20.18"
"Saint-Geni&egrave;s","06.36","07.28","08.13","08.58","09.46","10.42","11.32","12.18","13.08","14.04","14.53","15.38","16.34","17.20","18.15","19.03","19.47","20.27"
"Marigny","06.40","07.32","08.17","09.02","09.50","10.46","11.36","12.22","13.12","14.08","14.57","15.42","16.38","17.24","18.19","19.07","19.51","20.31"
"Pechbonnieu Mairie","06.42","07.34","08.19","09.05","09.53","10.49","11.39","12.25","13.15","14.11","14.59","15.44","16.40","17.26","18.21","19.09","19.53","20.33"
"Mairie Gratentour","06.50","07.43","08.28","09.14","10.01","10.58","11.48","12.34","13.24","14.21","15.09","15.54","16.50","17.36","18.31","19.18","20.02","20.42"
"Brugui&egrave;res Mairie","06.55","07.49","08.34","09.20","10.07","11.04","11.53","12.39","13.29","14.26","15.14","15.59","16.55","17.41","18.36","19.23","20.07","20.47"
