"","","","","","","","","vs"
"St-Orens Lyc&eacute;e","21.30","22.00","22.30","23.00","23.30","00.00","00.30","01.00"
"Labouilhe","21.33","22.03","22.33","23.03","23.33","00.03","00.33","01.03"
"Mairie St-Orens","21.33","22.03","22.33","23.03","23.33","00.03","00.33","01.03"
"Ctre Cial St-Orens","21.39","22.09","22.39","23.09","23.39","00.09","00.39","01.09"
"Malep&egrave;re","21.44","22.14","22.44","23.14","23.44","00.14","00.44","01.14"
"Cl&eacute;ment Ader","21.47","22.17","22.47","23.17","23.47","00.17","00.47","01.17"
"ENAC","21.50","22.20","22.50","23.20","23.50","00.20","00.50","01.20"
"Universit&eacute; Paul Sabatier","21.58","22.28","22.58","23.28","23.58","00.28","00.58","01.28"
