"Gratentour La Gravette","&ndash;","06.40","&ndash;","07.25","&ndash;","08.05","&ndash;","08.55","&ndash;","&ndash;","10.30","&ndash;","&ndash;","&ndash;","13.05","&ndash;","14.30","&ndash;","16.00","&ndash;","17.15","&ndash;","18.05","18.53","&ndash;","19.29"
"Mairie Castelginest","&ndash;","06.52","&ndash;","07.38","&ndash;","08.18","&ndash;","09.08","&ndash;","&ndash;","10.43","&ndash;","&ndash;","&ndash;","13.18","&ndash;","14.43","&ndash;","16.13","&ndash;","17.28","&ndash;","18.18","19.06","&ndash;","19.41"
"Brugui&egrave;res","06.30","&ndash;","07.00","&ndash;","07.45","&ndash;","08.25","&ndash;","09.10","10.10","&ndash;","11.25","11.50","12.45","&ndash;","14.15","&ndash;","15.30","&ndash;","16.55","&ndash;","17.35","&ndash;","&ndash;","19.15","&ndash;"
"Mairie St-Alban","06.40","&ndash;","07.11","&ndash;","07.56","&ndash;","08.36","&ndash;","09.21","10.21","&ndash;","11.36","12.01","12.56","&ndash;","14.26","&ndash;","15.41","&ndash;","17.06","&ndash;","17.46","&ndash;","&ndash;","19.26","&ndash;"
"Mariel","06.42","06.57","07.15","07.43","08.00","08.23","08.40","09.12","09.25","10.25","10.47","11.40","12.05","13.00","13.22","14.30","14.47","15.45","16.17","17.10","17.32","17.50","18.22","19.10","19.28","19.45"
"Mairie Aucamville","06.46","07.01","07.20","07.48","08.05","08.28","08.45","09.16","09.29","10.29","10.51","11.44","12.09","13.05","13.27","14.35","14.52","15.49","16.21","17.14","17.36","17.54","18.26","19.15","19.31","19.48"
"Rich&eacute; Lalande","06.51","07.06","07.25","07.53","08.10","08.33","08.50","09.22","09.35","10.35","10.57","11.50","12.15","13.10","13.32","14.40","14.57","15.55","16.27","17.20","17.42","18.00","18.32","19.20","19.35","19.52"
"La Vache","06.59","07.18","07.37","08.05","08.22","08.45","09.02","09.31","09.44","10.44","11.06","11.59","12.24","13.21","13.44","14.52","15.07","16.04","16.37","17.30","17.52","18.10","18.42","19.29","19.43","20.00"
