"Dr&eacute;mil Stade","06.40","07.00","08.05","17.06","17.45","18.28","19.10"
"Eglise Dr&eacute;mil","06.41","07.01","08.06","17.08","17.47","18.30","19.12"
"Montauriol","06.47","07.07","08.13","17.13","17.52","18.35","19.17"
"Mairie Flourens","06.53","07.13","08.19","17.18","17.57","18.40","19.22"
"Balma La Coste","07.05","07.25","08.31","17.30","18.09","18.51","19.33"
"Balma - Gramont","07.16","07.36","08.38","17.39","18.18","18.59","19.40"
