"Borderouge","06.00","06.30","07.00","07.30","08.05","08.55","09.50","10.45","11.40","12.35","13.35","14.25","15.20","16.15","16.45","17.15","17.45","18.20","19.05","20.00"
"Netwiller","06.03","06.33","07.03","07.33","08.08","08.58","09.53","10.48","11.43","12.38","13.38","14.28","15.23","16.18","16.48","17.18","17.48","18.23","19.08","20.03"
"Val d&rsquo;Aran","06.06","06.36","07.06","07.36","08.11","09.02","09.57","10.52","11.47","12.42","13.42","14.32","15.27","16.22","16.52","17.22","17.52","18.27","19.12","20.07"
"L&rsquo;Union Somport","06.08","06.38","07.09","07.39","08.14","09.05","10.00","10.55","11.50","12.45","13.46","14.36","15.31","16.26","16.56","17.26","17.56","18.31","19.16","20.10"
"L&rsquo;Union Malbou","06.15","06.45","07.16","07.46","08.21","09.12","10.07","11.02","11.57","12.52","13.53","14.43","15.39","16.34","17.03","17.33","18.03","18.38","19.23","20.17"
