"Mondonville Eglise","06.50","07.05","07.15","07.30","07.50","08.05","08.20","08.35","08.50","16.05","16.20","16.35","16.50","17.05","17.20","17.35","17.50","18.05","18.20","18.35","18.50","19.05"
"Clinique des C&egrave;dres","06.55","07.10","07.20","07.35","07.55","08.09","08.24","08.39","08.54","16.09","16.24","16.39","16.54","17.09","17.24","17.39","17.54","18.09","18.24","18.39","18.54","19.09"
"Mairie Cornebarrieu","07.01","07.16","07.26","07.41","08.01","08.15","08.30","08.45","09.00","16.15","16.30","16.45","17.00","17.15","17.30","17.45","18.00","18.14","18.29","18.44","18.59","19.14"
"Lat&eacute;co&egrave;re","07.04","07.19","07.29","07.44","08.03","08.17","08.32","08.47","09.02","16.17","16.32","16.47","17.02","17.17","17.32","17.47","18.02","18.16","18.31","18.46","19.01","19.16"
"Joseph Strauss","07.09","07.24","07.34","07.49","08.08","08.22","08.37","08.52","09.07","16.22","16.37","16.52","17.07","17.22","17.37","17.52","18.07","18.21","18.36","18.51","19.06","19.21"
"Androm&egrave;de Lyc&eacute;e","07.14","07.29","07.39","07.57","08.15","08.29","08.44","08.59","09.14","16.27","16.42","16.57","17.12","17.27","17.42","17.57","18.12","18.26","18.41","18.56","19.11","19.26"
"Coll&egrave;ge Mermoz","&ndash;","07.33","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
