"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","","","","","","","","vs"
"Universit&eacute; Paul Sabatier","21.30","22.00","22.30","23.00","23.30","00.00","00.30","01.00"
"Saouzelong","21.37","22.07","22.37","23.07","23.37","00.07","00.37","01.07"
"Busca","21.41","22.11","22.41","23.11","23.41","00.11","00.41","01.11"
"Fran&ccedil;ois Verdier","21.45","22.15","22.45","23.15","23.45","00.15","00.45","01.15"
"Cours Dillon","21.49","22.19","22.49","23.19","23.49","00.19","00.49","01.19"
