"Malep&egrave;re","05.25","05.50","06.05","06.20","06.33","06.45","06.56","entre 7 h et 19 h temps d&rsquo;attente maximum 15 min","19.10","19.25","19.40","19.55","20.10","20.30","20.50","21.10"
"Tahiti","05.31","05.56","06.11","06.26","06.39","06.51","07.03","19.21","19.36","19.51","20.04","20.17","20.37","20.56","21.16"
"Trois Fours","05.35","06.00","06.15","06.30","06.44","06.56","07.08","19.26","19.41","19.55","20.08","20.21","20.41","21.00","21.20"
"Fran&ccedil;ois Verdier","05.41","06.06","06.21","06.36","06.50","07.02","07.14","19.33","19.47","20.01","20.14","20.27","20.46","21.05","21.25"
"Cours Dillon","05.48","06.13","06.28","06.43","06.57","07.09","07.21","19.42","19.55","20.09","20.22","20.35","20.53","21.12","21.32"
