"Plaisance Monesti&eacute;","05.55","06.35","07.10","07.45","08.20","08.55","11.15","12.25","13.35","14.45","16.10","16.45","17.20","17.55","18.30"
"Mairie La Salvetat","06.00","06.41","07.16","07.51","08.26","09.00","11.20","12.30","13.40","14.50","16.15","16.50","17.25","18.00","18.35"
"Centre de tri postal","06.08","06.49","07.24","07.59","08.33","09.07","11.27","12.37","13.47","14.57","16.22","16.57","17.33","18.07","18.42"
"Place des Marots","06.12","06.54","07.29","08.04","08.38","09.12","11.32","12.42","13.52","15.02","16.27","17.02","17.38","18.12","18.47"
"Colomiers Gare SNCF","06.16","06.59","07.34","08.11","08.45","09.17","11.37","12.47","13.57","15.06","16.31","17.06","17.42","18.16","18.51"
