"&nbsp;","","","","","","","","","","","","m","m","","","","","","","e","m","","","","","","","",""
"Coll&egrave;ge Mermoz","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","12.15","13.15","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","16.50","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
"Androm&egrave;de Lyc&eacute;e","06.25","06.40","06.55","07.10","07.25","07.45","08.00","08.15","08.30","08.45","09.00","12.21","13.21","15.25","15.40","15.55","16.10","16.25","16.40","16.55","16.55","17.10","17.25","17.40","17.55","18.10","18.25","18.40","18.55"
"Joseph Strauss","06.29","06.44","06.59","07.14","07.29","07.50","08.05","08.19","08.34","08.49","09.04","12.27","13.27","15.31","15.45","16.00","16.15","16.30","16.45","17.00","17.00","17.15","17.30","17.45","18.00","18.15","18.30","18.45","19.00"
"Lat&eacute;co&egrave;re","06.34","06.49","07.04","07.19","07.34","07.55","08.10","08.24","08.39","08.54","09.09","12.33","13.33","15.37","15.50","16.05","16.21","16.36","16.51","17.06","17.06","17.21","17.36","17.51","18.06","18.21","18.36","18.51","19.06"
"Mairie Cornebarrieu","06.36","06.51","07.06","07.21","07.36","07.57","08.12","08.26","08.41","08.56","09.11","12.35","13.35","15.38","15.51","16.06","16.22","16.37","16.52","17.08","17.08","17.23","17.38","17.53","18.08","18.23","18.38","18.53","19.07"
"Clinique des C&egrave;dres","06.43","06.58","07.13","07.28","07.44","08.05","08.20","08.33","08.48","09.03","09.18","12.42","13.42","15.45","15.58","16.13","16.29","16.44","16.59","17.15","17.15","17.30","17.45","18.00","18.15","18.30","18.45","18.59","19.13"
"Mondonville Eglise","06.49","07.04","07.19","07.35","07.51","08.12","08.27","08.40","08.55","09.10","09.25","12.50","13.50","15.53","16.06","16.21","16.37","16.52","17.07","17.23","17.23","17.38","17.53","18.07","18.22","18.37","18.52","19.05","19.19"
