"Gleyze-Vieille","06.00","06.25","06.48","07.08","07.28","07.48","08.08","08.28","08.48","09.10","09.40","10.10","10.40","11.10","11.40","12.10","12.40","13.10","13.40","14.10","14.40","15.10","15.40","16.10","16.34","16.54","17.14","17.34","17.54","18.14","18.34","19.00","19.30","20.00","20.30","21.00"
"Pouvourville","06.04","06.29","06.52","07.12","07.32","07.52","08.12","08.32","08.52","09.14","09.44","10.14","10.44","11.14","11.44","12.14","12.44","13.14","13.44","14.14","14.44","15.14","15.44","16.14","16.38","16.58","17.18","17.38","17.58","18.18","18.38","19.04","19.34","20.04","20.34","21.03"
"Larrey","06.07","06.32","06.55","07.15","07.35","07.55","08.15","08.35","08.55","09.17","09.47","10.17","10.47","11.17","11.47","12.17","12.47","13.17","13.47","14.17","14.47","15.17","15.47","16.16","16.40","17.00","17.20","17.40","18.01","18.21","18.41","19.07","19.36","20.06","20.36","21.05"
"Universit&eacute; Paul Sabatier","06.10","06.35","06.59","07.19","07.39","07.59","08.19","08.39","08.59","09.22","09.51","10.21","10.51","11.21","11.51","12.21","12.51","13.21","13.51","14.21","14.51","15.21","15.51","16.20","16.44","17.04","17.24","17.44","18.05","18.25","18.46","19.12","19.40","20.10","20.40","21.09"
"Coteaux","06.15","06.40","07.04","07.25","07.45","08.05","08.25","08.45","09.05","09.28","09.57","10.27","10.57","11.27","11.57","12.27","12.57","13.27","13.57","14.27","14.57","15.27","15.57","16.26","16.50","17.10","17.30","17.50","18.11","18.31","18.52","19.17","19.45","20.15","20.45","21.14"
"Empalot","06.19","06.44","07.09","07.30","07.50","08.10","08.30","08.50","09.10","09.33","10.02","10.32","11.02","11.32","12.02","12.32","13.02","13.32","14.02","14.32","15.02","15.32","16.02","16.31","16.55","17.15","17.35","17.55","18.16","18.36","18.57","19.22","19.50","20.20","20.50","21.18"
