"&nbsp;","","","","","m","","","","","","","","","","","","","","","",""
"Rouffiac-Tolosan","06.40","07.10","07.40","08.00","08.15","08.55","09.25","10.00","11.00","12.00","12.40","13.15","13.50","14.50","15.50","16.25","17.00","17.35","18.15","18.45","19.15"
"Blanqui","06.46","07.16","07.46","08.09","08.21","09.01","09.31","10.06","11.06","12.06","12.46","13.21","13.56","14.56","15.56","16.31","17.06","17.41","18.21","18.51","19.21"
"Coll&egrave;ge Montrab&eacute;","&ndash;","&ndash;","&ndash;","08.19","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
"Ratalens (St-Jean clinique de l'Union)","06.52","07.22","07.52","&ndash;","08.27","09.07","09.37","10.12","11.12","12.12","12.52","13.27","14.02","15.02","16.02","16.37","17.12","17.47","18.27","18.57","19.27"
"ZI Montredon","06.56","07.26","07.56","08.25","08.31","09.11","09.41","10.16","11.16","12.16","12.56","13.31","14.06","15.06","16.06","16.41","17.16","17.51","18.31","19.01","19.31"
"Banque Populaire","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","12.19","&ndash;","&ndash;","&ndash;","&ndash;","16.09","&ndash;","17.21","17.56","&ndash;","&ndash;","&ndash;"
"Balma - Gramont","07.00","07.30","08.00","08.29","08.35","09.15","09.45","10.20","11.20","12.23","12.59","13.34","14.10","15.10","16.13","16.45","17.27","18.02","18.35","19.04","19.34"
