"Montjoie","7.00","7.30","8.00","8.30","9.00","9.30","10.00","10.30","11.00","11.30","12.00","12.30","13.00","13.30","14.00","14.30","15.00","15.30","16.00","16.30","17.00","17.30","18.00","18.30","19.00","19.30","20.00","20.30"
"Ramonville M&eacute;tro","7.10","7.40","8.10","8.40","9.10","9.40","10.10","10.40","11.10","11.40","12.10","12.40","13.10","13.40","14.10","14.40","15.10","15.40","16.10","16.40","17.10","17.40","18.10","18.40","19.10","19.40","20.10","20.40"
