"Castelmaurou Mairie","05.55","06.30","07.00","07.30","07.55","08.40","09.30","10.10","11.10","11.35","12.20","13.10","13.50","15.00","16.10","16.45","17.25","18.10","18.45","19.20"
"Mairie St-Jean","05.59","06.34","07.04","07.34","07.59","08.44","09.34","10.14","11.14","11.39","12.24","13.14","13.54","15.04","16.14","16.49","17.29","18.14","18.49","19.24"
"Ctre Cial L'Union","06.02","06.39","07.09","07.39","08.04","08.49","09.39","10.19","11.19","11.44","12.29","13.19","14.00","15.10","16.20","16.55","17.35","18.20","18.54","19.29"
"Bayonne","06.04","06.41","07.11","07.42","08.07","08.52","09.42","10.22","11.22","11.47","12.32","13.22","14.03","15.13","16.23","16.58","17.38","18.23","18.57","19.32"
"Atlanta","06.06","06.43","07.13","07.44","08.09","08.54","09.44","10.24","11.24","11.49","12.34","13.24","14.06","15.16","16.26","17.01","17.41","18.26","19.00","19.35"
"Argoulets","06.14","06.51","07.21","07.53","08.18","09.02","09.52","10.32","11.32","11.57","12.42","13.32","14.14","15.24","16.35","17.10","17.50","18.35","19.08","19.43"
