"Argoulets","06.20","06.40","07.00","07.24","07.44","08.09","08.34","08.59","09.24","09.49","10.14","10.39","11.04","11.29","11.54","12.19","12.45","13.10","13.36","14.01","14.26","14.52","15.17","15.43","16.08","16.34","16.59","17.26","17.51","18.20","18.50","19.15","19.40","20.05","20.30"
"Atlanta","06.25","06.45","07.06","07.30","07.50","08.15","08.40","09.05","09.30","09.55","10.20","10.45","11.10","11.35","12.00","12.25","12.51","13.16","13.42","14.07","14.32","14.58","15.23","15.49","16.14","16.40","17.06","17.33","17.58","18.27","18.55","19.20","19.45","20.10","20.35"
"Bayonne","06.28","06.48","07.10","07.34","07.54","08.19","08.44","09.09","09.34","09.59","10.24","10.49","11.14","11.39","12.04","12.29","12.55","13.20","13.46","14.11","14.36","15.02","15.27","15.53","16.18","16.44","17.11","17.38","18.03","18.32","18.58","19.23","19.48","20.13","20.38"
"L'Union Somport","06.34","06.54","07.17","07.41","08.01","08.26","08.51","09.16","09.41","10.06","10.31","10.56","11.21","11.46","12.11","12.36","13.02","13.27","13.53","14.18","14.43","15.09","15.34","16.00","16.25","16.51","17.19","17.46","18.11","18.40","19.05","19.30","19.55","20.20","20.45"
