"Borderouge","07.05","07.45","08.15","12.00","13.45","16.00","16.40","17.10","17.35","18.00","18.30","19.15"
"Furet","07.14","07.54","08.24","12.08","13.53","16.08","16.48","17.18","17.43","18.08","18.38","19.23"
"Paleficat","07.15","07.55","08.25","12.09","13.54","16.09","16.49","17.19","17.44","18.09","18.39","19.24"
"Borderouge","07.21","08.01","08.31","12.14","13.59","16.14","16.54","17.24","17.49","18.14","18.44","19.29"
