"Brax Le Ch&acirc;teau","07.14","08.05","08.55","11.20","13.20","14.10","17.30","18.20"
"Pibrac Stade","07.19","08.10","09.00","11.25","13.25","14.15","17.35","18.25"
"Pibrac Basilique","07.21","08.12","09.02","11.27","13.27","14.17","17.37","18.27"
"Colomiers Lyc&eacute;e International","07.26","08.17","09.07","11.32","13.32","14.22","17.42","18.32"
"Colomiers Passerelle","07.30","08.21","09.11","11.36","13.36","14.26","17.46","18.36"
"Colomiers Gare SNCF","07.35","08.26","09.16","11.41","13.41","14.31","17.51","18.41"
