"Belberaud La Balme","06.15","06.45","07.15","07.45","08.15","08.45","09.15","09.45","10.15","10.45","11.15","11.45","12.15","12.45","13.15","13.45","14.15","14.45","15.15","15.45","16.15","16.45","17.15","17.45","18.15","18.45","19.15","19.45","20.15","20.45"
"Payssi&egrave;re","06.23","06.53","07.24","07.54","08.24","08.54","09.24","09.53","10.23","10.53","11.23","11.53","12.23","12.53","13.23","13.53","14.23","14.53","15.23","15.53","16.23","16.53","17.24","17.53","18.23","18.53","19.23","19.53","20.23","20.53"
"Lalande","06.27","06.57","07.28","07.58","08.28","08.58","09.28","09.57","10.27","10.57","11.27","11.57","12.27","12.57","13.27","13.58","14.28","14.58","15.28","15.58","16.28","16.58","17.29","17.57","18.27","18.57","19.27","19.57","20.27","20.57"
"Malep&egrave;re","06.33","07.04","07.36","08.05","08.35","09.05","09.35","10.04","10.34","11.04","11.33","12.05","12.35","13.05","13.35","14.06","14.36","15.06","15.36","16.06","16.36","17.07","17.38","18.05","18.35","19.05","19.35","20.05","20.34","21.04"
"Gonin","06.39","07.10","07.42","08.11","08.41","09.11","09.41","10.10","10.40","11.10","11.39","12.12","12.42","13.12","13.42","14.13","14.43","15.13","15.43","16.13","16.43","17.15","17.45","18.12","18.42","19.12","19.42","20.12","20.40","21.10"
"Rangueil","06.45","07.16","07.48","08.17","08.47","09.17","09.46","10.15","10.45","11.15","11.44","12.18","12.48","13.18","13.48","14.19","14.49","15.19","15.49","16.19","16.49","17.22","17.52","18.19","18.49","19.18","19.48","20.18","20.45","21.15"
