"Balma - Gramont","07.00","07.45","07.47","08.15","08.45","09.15","10.15","11.15","12.15","13.15","14.15","15.15","16.15","16.45","16.50","17.15","17.45","18.15","18.45","19.15"
"ZI Montredon","07.04","07.49","07.51","08.19","08.49","09.19","10.19","11.19","12.19","13.19","14.19","15.19","16.19","16.49","16.54","17.19","17.49","18.19","18.49","19.19"
"Mireille","07.08","07.53","07.55","08.23","08.53","09.23","10.23","11.23","12.23","13.23","14.23","15.23","16.24","16.54","16.59","17.24","17.54","18.24","18.54","19.23"
"Gare SNCF Montrab&eacute;","07.14","07.59","08.01","08.29","08.59","09.29","10.29","11.29","12.29","13.29","14.29","15.29","16.30","17.00","17.15","17.30","18.00","18.30","19.00","19.29"
"Montrab&eacute; Stade","07.19","08.04","08.06","08.34","09.04","09.34","10.34","11.34","12.34","13.34","14.34","15.34","16.36","17.06","17.21","17.36","18.06","18.36","19.06","19.35"
