"Basso Cambo","06.20","07.00","07.40","08.20","09.00","09.45","10.35","11.25","12.15","13.05","13.55","14.45","15.35","16.20","17.00","17.40","18.20","19.00","19.50"
"Reguelongue","06.26","07.06","07.46","08.26","09.06","09.51","10.41","11.31","12.21","13.11","14.01","14.51","15.41","16.26","17.06","17.47","18.27","19.07","19.56"
"Tucaut","06.27","07.07","07.48","08.28","09.08","09.53","10.43","11.33","12.23","13.13","14.03","14.53","15.43","16.28","17.08","17.49","18.29","19.09","19.58"
"Mairie Cugnaux","06.32","07.12","07.54","08.34","09.14","09.59","10.49","11.39","12.29","13.19","14.09","14.59","15.49","16.34","17.14","17.55","18.35","19.15","20.04"
"Pompidou","06.35","07.15","07.57","08.37","09.17","10.02","10.52","11.42","12.32","13.22","14.12","15.02","15.52","16.37","17.17","17.58","18.38","19.18","20.07"
"Mairie Villeneuve","06.38","07.18","08.00","08.40","09.20","10.05","10.55","11.45","12.35","13.25","14.15","15.05","15.55","16.40","17.20","18.01","18.41","19.21","20.10"
"Portet Gare SNCF","06.49","07.29","08.11","08.51","09.31","10.16","11.06","11.56","12.46","13.36","14.26","15.16","16.06","16.51","17.31","18.12","18.52","19.32","20.20"
