"","","","","","","","","vs"
"Malep&egrave;re","21.30","21.57","22.27","22.57","23.27","23.57","00.27","00.57"
"Tahiti","21.36","22.03","22.33","23.03","23.33","00.03","00.33","01.03"
"Trois Fours","21.40","22.07","22.37","23.07","23.37","00.07","00.37","01.07"
"Fran&ccedil;ois Verdier","21.44","22.11","22.41","23.11","23.41","00.11","00.41","01.11"
"Cours Dillon","21.49","22.16","22.46","23.16","23.46","00.16","00.46","01.16"
