"Borderouge","06.10","06.35","06.55","07.20","07.40","08.00","08.30","09.00","09.30","10.00","10.30","11.00","11.30","12.00","12.30","13.00","13.30","14.00","14.30","15.00","15.30","16.00","16.20","16.40","17.00","17.20","17.40","18.10","18.40","19.10","19.40","20.05","20.30"
"Netwiller","06.13","06.38","06.58","07.23","07.43","08.03","08.33","09.03","09.33","10.03","10.33","11.03","11.33","12.03","12.33","13.03","13.33","14.03","14.33","15.03","15.33","16.03","16.23","16.43","17.03","17.23","17.43","18.13","18.43","19.13","19.43","20.08","20.33"
"Bayonne","06.15","06.40","07.00","07.25","07.45","08.07","08.37","09.07","09.37","10.07","10.37","11.07","11.37","12.07","12.37","13.07","13.37","14.07","14.37","15.07","15.37","16.07","16.27","16.47","17.07","17.27","17.47","18.17","18.47","19.17","19.47","20.10","20.35"
"Ctre Cial L&rsquo;Union","06.17","06.42","07.02","07.27","07.47","08.09","08.39","09.09","09.39","10.09","10.39","11.09","11.39","12.09","12.39","13.09","13.39","14.09","14.39","15.09","15.39","16.09","16.29","16.50","17.10","17.30","17.50","18.20","18.50","19.19","19.49","20.12","20.37"
"Mairie St-Jean","06.21","06.46","07.06","07.31","07.51","08.13","08.43","09.13","09.45","10.15","10.45","11.15","11.45","12.15","12.45","13.15","13.45","14.15","14.45","15.15","15.45","16.15","16.35","16.56","17.16","17.36","17.56","18.26","18.56","19.25","19.55","20.17","20.42"
"St-Jean Lestang","06.26","06.51","07.11","07.36","07.56","08.18","08.48","09.18","09.50","10.20","10.50","11.20","11.50","12.20","12.50","13.20","13.50","14.20","14.50","15.20","15.50","16.20","16.40","17.01","17.21","17.41","18.01","18.31","19.01","19.30","20.00","20.22","20.47"
