"Amouroux","06.00","06.30","07.00","07.20","07.40","08.00","08.20","08.40","09.00","09.20","09.40","10.00","10.20","10.40","11.00","11.20","11.40","12.00","12.20","12.40","13.00","13.20","13.40","14.00","14.20","14.40","15.00","15.20","15.40","16.00","16.20","16.40","17.00","17.20","17.40","18.00","18.20","18.40","19.00","19.20","19.40","20.00","20.25","20.50"
"Raynal","06.04","06.34","07.04","07.24","07.44","08.05","08.25","08.45","09.07","09.27","09.47","10.07","10.28","10.48","11.07","11.27","11.47","12.07","12.27","12.47","13.07","13.27","13.47","14.07","14.27","14.47","15.07","15.27","15.47","16.07","16.27","16.47","17.07","17.27","17.47","18.07","18.27","18.47","19.07","19.27","19.47","20.05","20.30","20.55"
"Jeanne d&rsquo;Arc","06.05","06.35","07.05","07.25","07.45","08.08","08.28","08.48","09.10","09.30","09.50","10.10","10.33","10.53","11.14","11.33","11.53","12.13","12.30","12.50","13.10","13.30","13.50","14.10","14.30","14.50","15.10","15.30","15.50","16.10","16.30","16.50","17.10","17.30","17.50","18.10","18.30","18.50","19.10","19.30","19.50","20.08","20.33","20.58"
"Jean Jaur&egrave;s","06.07","06.37","07.07","07.27","07.47","08.11","08.31","08.51","09.13","09.33","09.53","10.13","10.36","10.56","11.18","11.37","11.57","12.17","12.34","12.54","13.14","13.34","13.54","14.14","14.34","14.54","15.14","15.34","15.54","16.14","16.34","16.54","17.14","17.34","17.54","18.14","18.34","18.54","19.14","19.34","19.54","20.11","20.36","21.01"
"Esquirol","06.11","06.41","07.11","07.31","07.51","08.15","08.35","08.55","09.18","09.38","09.58","10.18","10.41","11.02","11.24","11.43","12.03","12.23","12.40","13.00","13.20","13.40","14.00","14.20","14.40","14.59","15.19","15.39","15.59","16.19","16.39","16.59","17.19","17.39","17.59","18.19","18.39","18.59","19.19","19.39","19.59","20.16","20.41","21.06"
"Conseil r&eacute;gional","06.14","06.45","07.15","07.35","07.55","08.19","08.39","08.59","09.22","09.42","10.02","10.22","10.45","11.06","11.28","11.47","12.07","12.28","12.45","13.05","13.25","13.45","14.05","14.25","14.44","15.03","15.23","15.43","16.03","16.23","16.43","17.03","17.23","17.43","18.03","18.23","18.43","19.03","19.23","19.43","20.03","20.20","20.45","21.10"
"Empalot","06.18","06.51","07.21","07.41","08.01","08.24","08.44","09.04","09.27","09.47","10.07","10.28","10.51","11.12","11.36","11.54","12.14","12.33","12.50","13.10","13.30","13.50","14.10","14.30","14.50","15.09","15.29","15.49","16.09","16.29","16.49","17.09","17.29","17.49","18.09","18.29","18.49","19.09","19.29","19.49","20.09","20.26","20.51","21.16"
