"Ramonville Midiville","07.05","07.25","07.45","08.10","08.35","09.20","10.05","10.45","11.30","12.15","12.55","13.40","14.22","15.05","15.48","16.33","17.16","18.00","18.45","19.30"
"Occitanie","*07.09*","*07.29*","*07.49*","*08.14*","*08.39*","*09.24*","*10.09*","*10.49*","*11.34*","*12.19*","*12.59*","*13.44*","*14.26*","15.09","15.52","16.37","17.20","18.04","18.49","19.33"
"Marnac","07.10","07.30","07.50","08.15","08.40","09.25","10.10","10.50","11.35","12.20","13.00","13.45","14.27","15.10","15.53","16.38","17.21","18.05","18.50","19.34"
"Cl&ocirc;tasses","07.15","07.35","07.55","08.20","08.45","09.30","10.14","10.54","11.39","12.24","13.04","13.49","14.31","15.14","15.57","16.43","17.26","18.10","18.55","19.38"
"Universit&eacute; Paul Sabatier","07.17","07.37","07.57","08.22","08.47","09.32","10.16","10.56","11.41","12.26","13.06","13.51","14.33","15.16","15.59","16.45","17.28","18.12","18.57","19.40"
