"Tibaous","06.00","06.30","07.00","07.30","08.00","08.30","09.00","09.35","10.20","11.05","11.50","12.35","13.20","14.05","14.50","15.25","15.55","16.25","16.55","17.25","17.55","18.25","19.05","19.50","20.35"
"Villenouvelle","06.02","06.32","07.02","07.32","08.02","08.32","09.02","09.37","10.22","11.07","11.52","12.37","13.22","14.07","14.52","15.27","15.57","16.27","16.57","17.27","17.57","18.27","19.07","19.52","20.37"
"Licard","06.05","06.35","07.05","07.35","08.05","08.35","09.05","09.40","10.25","11.10","11.55","12.40","13.25","14.10","14.55","15.30","16.00","16.30","17.00","17.30","18.00","18.30","19.10","19.55","20.40"
"Angely","06.07","06.37","07.07","07.38","08.09","08.39","09.07","09.42","10.27","11.12","11.57","12.42","13.27","14.12","14.57","15.32","16.02","16.32","17.03","17.33","18.03","18.33","19.12","19.57","20.42"
"Basso Cambo","06.12","06.42","07.12","07.48","08.21","08.51","09.13","09.48","10.33","11.18","12.03","12.48","13.33","14.18","15.03","15.38","16.08","16.38","17.12","17.42","18.12","18.42","19.17","20.02","20.47"
