"","","","","","","","","","vs"
"CHR Rangueil","21.45","22.00","22.15","22.30","22.45","23.15","23.45","00.15","00.45"
"Universit&eacute; Paul Sabatier","21.50","22.05","22.20","22.35","22.50","23.20","23.50","00.20","00.50"
