"Auzeville &Eacute;glise","06.55","07.33","08.00","08.30","09.00","09.30","10.00","10.30","11.00","11.30","12.00","12.32","13.30","14.00","14.30","15.00","15.30","16.00","16.30","17.00","17.30","18.00","18.30","19.00"
"Tourterelles","06.58","07.37","08.04","08.34","09.04","09.33","10.03","10.33","11.03","11.33","12.03","12.35","13.33","14.03","14.33","15.03","15.33","16.03","16.33","17.03","17.33","18.03","18.33","19.03"
"Mairie Ramonville","07.02","07.42","08.09","08.39","09.09","09.37","10.07","10.37","11.07","11.37","12.07","12.39","13.37","14.07","14.37","15.07","15.37","16.07","16.38","17.08","17.38","18.07","18.37","19.06"
"Cl&ocirc;tasses","07.05","07.45","08.12","08.42","09.12","09.39","10.09","10.39","11.09","11.39","12.09","12.41","13.39","14.09","14.39","15.09","15.39","16.09","16.41","17.11","17.41","18.10","18.40","19.08"
"Universit&eacute; Paul Sabatier","07.08","07.48","08.15","08.45","09.15","09.41","10.11","10.41","11.11","11.41","12.11","12.43","13.41","14.11","14.41","15.11","15.41","16.11","16.44","17.14","17.44","18.13","18.43","19.10"
