"Balma - Gramont","07.15","07.45","08.25","09.40","10.50","12.00","13.20","14.30","15.45","16.20","17.00","17.35","18.10","18.45","19.20"
"Banque Populaire","07.17","07.47","08.27","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;","&ndash;"
"ZI Montredon","07.21","07.51","08.31","09.43","10.53","12.03","13.23","14.33","15.48","16.23","17.03","17.39","18.14","18.48","19.23"
"Ratalens (St-Jean clinique de L&rsquo;Union)","07.24","07.55","08.35","09.46","10.56","12.06","13.26","14.36","15.51","16.27","17.07","17.43","18.18","18.52","19.26"
"Blanqui","07.30","08.01","08.41","09.52","11.02","12.12","13.32","14.42","15.57","16.33","17.13","17.50","18.24","18.58","19.32"
"Rouffiac-Tolosan","07.38","08.09","08.49","10.00","11.10","12.20","13.40","14.50","16.05","16.41","17.21","17.58","18.32","19.06","19.40"
