"&nbsp;","","","","","","","","m","m","","","","","","","","","","",""
"Androm&egrave;de Lyc&eacute;e","06.55","07.15","07.35","07.55","08.15","08.35","08.55","12.10","13.10","15.35","15.55","16.15","16.35","16.55","17.15","17.35","17.55","18.15","18.35","18.55"
"A&eacute;roconstellation","06.59","07.19","07.39","07.59","08.19","08.38","08.58","12.14","13.14","15.38","15.58","16.18","16.38","16.59","17.19","17.39","17.59","18.19","18.39","18.59"
"Periac","07.05","07.25","07.45","08.05","08.25","08.44","09.04","12.21","13.21","15.45","16.05","16.25","16.46","17.07","17.27","17.47","18.07","18.27","18.46","19.06"
"R&eacute;publique","07.07","07.27","07.47","08.07","08.27","08.46","09.06","12.23","13.23","15.47","16.07","16.28","16.49","17.10","17.31","17.51","18.09","18.29","18.48","19.08"
"Aussonne Agassines","07.14","07.34","07.54","08.14","08.34","08.52","09.12","12.29","13.29","15.53","16.13","16.34","16.55","17.16","17.38","17.58","18.16","18.36","18.54","19.14"
